"appid","developer_id"
"3980",47611
"3990",47611
"4000",27743
"4100",19901
"4102",19901
"4230",66230
"4260",66230
"4290",66230
"4300",32385
"4310",32385
"4320",32385
"4400",34029
"4410",34029
"4420",34029
"4440",34029
"4460",34029
"4470",34029
"4500",5712
"4520",40683
"4530",40683
"4560",80798
"4570",80798
"4580",80798
"4600",43501
"4700",87238
"4700",53353
"4700",77136
"4710",94305
"4720",51409
"4760",87238
"4770",94305
"4780",94305
"4780",53353
"4780",77136
"4790",39836
"4800",5712
"4810",5712
"4820",5712
"4850",5712
"4856",5712
"4870",5712
"4880",5712
"4890",5712
"4900",55162
"4920",55162
"6000",16154
"6010",16154
"6020",81949
"6030",81949
"6040",16154
"6060",40683
"6080",42363
"6090",40347
"6120",23291
"6130",23291
"6200",77997
"6210",43483
"6220",2389
"6220",23673
"6220",83093
"6230",2389
"6250",69768
"6260",69768
"6270",36225
"6290",88457
"6300",32357
"6310",32357
"6320",32357
"6370",6775
"6400",35761
"6410",35761
"6420",70647
"6510",71424
"6580",71424
"6600",25402
"6800",66565
"6810",66565
"6830",66565
"6840",66565
"6850",43128
"6860",43128
"6870",36960
"6880",83407
"6900",42684
"6910",92508
"6920",92508
"6930",53683
"6940",36960
"6950",85468
"6980",92508
"7000",54828
"7010",54828
"7020",85430
"7030",54828
"7050",54828
"7110",57815
"7200",38313
"7210",77537
"7220",77537
"7230",77537
"7260",48314
"7280",48314
"7340",69157
"7400",71085
"7420",71085
"7440",71085
"7450",71085
"7470",71085
"7510",79070
"7520",24017
"7530",24017
"7600",47611
"7600",53353
"7610",5952
"7620",5952
"7650",52461
"7660",52461
"7670",31182
"7670",55200
"7710",31182
"7710",55200
"7730",52461
"7760",52461
"7770",52461
"7780",36374
"7800",13064
"7810",9466
"7830",99094
"7830",80738
"7840",43475
"7860",9824
"7880",36374
"7890",99094
"7900",12174
"7910",12174
"7940",31917
"7980",41315
"7990",22498
"8000",54828
"8010",35471
"8030",54828
"8080",79737
"8090",47560
"8100",47560
"8140",54828
"8150",54828
"8170",38092
"8180",38092
"8190",83407
"8310",20687
"8320",20687
"8330",95063
"8400",32495
"8500",94447
"8600",66230
"8780",66230
"8650",66230
"8660",66230
"8690",66230
"8700",66230
"8720",66230
"8750",95090
"8760",66230
"8790",37473
"8800",47611
"8820",47611
"8830",77888
"8850",1899
"8850",54624
"8850",52985
"8850",55200
"8870",73055
"8870",7799
"8880",73055
"8890",73055
"8900",73055
"8910",73055
"8930",47611
"8930",43479
"8930",36314
"8970",33466
"8980",21806
"8990",21806
"9010",48613
"9050",50273
"9060",81949
"9120",50273
"9180",50273
"9200",50273
"9300",80798
"9310",80798
"9340",80798
"9350",44580
"9400",61636
"9420",44580
"9450",80798
"9460",63751
"9480",31347
"9500",57003
"9500",36946
"9510",57003
"9710",17032
"9730",100762
"9740",99825
"9760",6593
"9800",95789
"9850",25956
"9850",62959
"9850",95707
"9860",4494
"9880",56026
"9900",56026
"9940",68862
"9950",68862
"9960",13307
"9970",53378
"9980",74497
"10040",41315
"10080",84687
"10090",84687
"10100",59414
"10110",59414
"10120",74497
"10130",8545
