"appid","genre_id"
"16020",32
"16022",32
"16030",32
"16032",32
"16040",32
"16042",32
"16060",32
"16062",32
"16090",32
"16100",32
"16100",11
"16110",32
"16110",11
"16120",32
"16120",11
"16130",32
"16130",11
"16140",32
"16140",11
"16150",32
"16150",11
"16160",32
"16160",11
"16170",32
"16170",11
"16180",32
"16180",11
"16190",32
"16190",11
"16200",32
"16200",11
"16210",32
"16210",11
"16300",31
"16300",32
"16420",122
"16450",122
"16465",122
"16500",32
"16500",31
"16510",32
"16510",31
"16600",31
"16600",15
"16600",62
"16610",15
"16610",62
"16610",31
"16620",31
"16620",15
"16620",62
"16630",15
"16630",31
"16630",62
"16700",5
"16710",122
"16710",113
"16720",122
"16730",122
"16810",5
"16860",5
"16861",5
"16862",5
"16863",5
"16866",5
"16867",5
"16868",5
"16870",5
"16900",64
"16900",31
"16900",37
"16900",9
"17020",122
"17020",44
"17020",16
"17020",144
"17080",122
"17080",44
"17100",5
"17100",11
"17110",11
"17110",5
"17120",5
"17120",11
"17140",144
"17140",5
"17180",5
"17330",122
"17390",122
"17390",113
"17390",32
"17390",144
"17390",11
"17390",5
"17410",122
"17410",113
"17420",144
"17420",16
"17440",11
"17460",122
"17460",144
"17470",122
"17470",113
"17480",122
"17480",5
"17500",122
"17500",113
"17500",32
"17500",31
"17500",44
"17510",31
"17520",122
"17520",44
"17530",122
"17530",31
"17530",15
"17550",122
"17570",122
"17570",31
"17570",44
"17580",122
"17580",44
"17580",31
"17700",122
"17710",122
"17710",5
"17730",122
"17730",62
"17740",122
"17740",44
"17740",5
"17750",122
"17750",113
"17750",32
"17750",44
"17750",31
"17800",144
"17810",144
"18000",113
"18000",144
"18010",113
"18010",144
"18020",113
"18020",144
"18030",113
"18030",144
"18040",122
"18040",31
"18040",144
"18050",122
"18050",31
"18050",144
"18070",122
"18070",113
"18070",144
"18080",122
"18080",113
"18080",144
"18110",122
"18110",31
"18120",122
"18120",32
"18120",31
"18120",5
"18300",32
"18300",31
"18400",32
"18400",5
"18407",32
"18407",5
"18408",32
"18408",5
"18420",32
"18420",5
"18430",32
"18430",5
"18440",32
"18440",5
"18470",5
"18480",113
"18500",31
"18500",5
"18508",5
"18508",31
"18509",5
"18509",31
"18510",5
"18510",31
"18520",5
"18520",31
"18521",5
"18521",31
"18522",31
"18522",5
"18523",5
"18523",31
"18600",31
"18600",5
"18610",5
"18700",122
"18700",31
"18710",122
"18710",31
"18800",122
"18800",31
"18800",15
"18800",62
"18820",122
"18820",31
"18820",15
"18820",62
"19000",113
"19020",32
"19020",144
"19030",122
"19030",113
"19060",122
"19060",113
"19080",122
"19080",113
"19080",32
"19200",122
"19200",31
"19210",122
"19210",31
"19320",122
"19320",31
"19320",32
"19500",113
"19500",31
"19510",31
"19510",113
"19680",122
"19680",113
"19800",122
"19810",122
"19830",122
"19900",122
"19980",122
"19980",113
"20200",32
"20200",31
"20200",62
"20500",122
"20510",122
"20510",144
"20530",122
"20540",5
"20550",122
"20550",5
"20570",5
"20700",122
"20700",31
"20700",5
"20710",122
"20710",31
"20710",5
"20720",5
"20720",122
"20720",31
"20730",5
"20730",122
"20730",31
"20820",122
"20820",31
"20828",122
"20828",31
"20900",122
"20900",144
"20902",122
"20902",144
"20920",144
"21000",122
"21000",113
"21010",122
"21020",122
"21030",122
"21070",122
"21080",122
"21080",113
"21090",122
"21100",122
"21130",122
"21130",113
"21300",31
"21300",32
"21310",31
"21310",32
"21400",5
"21400",122
"21400",31
"21410",5
"21410",122
"21410",31
"21500",15
"21510",15
"21620",32
"21650",32
"21650",5
"21660",122
"21670",122
"21670",113
"21680",122
"21690",122
"21690",113
"21730",113
"21760",5
"21780",15
"21800",5
