Date ,OPEN 
03-Jan-25,4179.95
06-Jan-25,4105.50
07-Jan-25,4114.95
08-Jan-25,4034.90
09-Jan-25,4101.00
10-Jan-25,4200.00
13-Jan-25,4245.00
14-Jan-25,4302.00
15-Jan-25,4218.00
16-Jan-25,4260.00
17-Jan-25,4159.90
20-Jan-25,4145.80
21-Jan-25,4095.30
22-Jan-25,4050.00
23-Jan-25,4168.00
24-Jan-25,4104.00
27-Jan-25,4102.00
28-Jan-25,4070.80
29-Jan-25,4054.00
30-Jan-25,4099.90
31-Jan-25,4110.00
01-Feb-25,4113.00
03-Feb-25,4030.90
04-Feb-25,4083.70
05-Feb-25,4150.00
06-Feb-25,4105.40
07-Feb-25,4090.00
10-Feb-25,4040.00
11-Feb-25,4018.40
12-Feb-25,3971.10
13-Feb-25,3968.00
14-Feb-25,3925.00
17-Feb-25,3856.50
18-Feb-25,3898.40
19-Feb-25,3872.20
20-Feb-25,3761.50
21-Feb-25,3776.10
24-Feb-25,3743.15
25-Feb-25,3625.00
27-Feb-25,3611.70
28-Feb-25,3584.95
03-Mar-25,3485.00
04-Mar-25,3474.00
05-Mar-25,3520.85
06-Mar-25,3557.00
07-Mar-25,3600.00
10-Mar-25,3606.50
11-Mar-25,3558.00
12-Mar-25,3565.00
13-Mar-25,3502.30
17-Mar-25,3489.00
18-Mar-25,3502.35
19-Mar-25,3547.00
20-Mar-25,3512.00
21-Mar-25,3475.00
24-Mar-25,3600.00
25-Mar-25,3645.00
26-Mar-25,3647.75
27-Mar-25,3614.85
28-Mar-25,3651.00
01-Apr-25,3572.70
02-Apr-25,3544.00
03-Apr-25,3491.00
04-Apr-25,3362.60
07-Apr-25,3100.00
08-Apr-25,3302.05
09-Apr-25,3260.55
11-Apr-25,3289.55
15-Apr-25,3314.40
16-Apr-25,3248.20
17-Apr-25,3245.50
21-Apr-25,3290.10
22-Apr-25,3322.60
23-Apr-25,3365.00
24-Apr-25,3401.10
25-Apr-25,3420.00
28-Apr-25,3435.00
29-Apr-25,3455.00
30-Apr-25,3472.00
02-May-25,3472.00
05-May-25,3450.00
06-May-25,3460.00
07-May-25,3420.60
08-May-25,3448.00
09-May-25,3399.00
12-May-25,3505.00
13-May-25,3620.40
14-May-25,3521.00
15-May-25,3564.00
16-May-25,3593.90
19-May-25,3550.00
20-May-25,3531.80
21-May-25,3508.00
22-May-25,3495.00
23-May-25,3477.00
26-May-25,3521.00
27-May-25,3532.00
28-May-25,3520.00
29-May-25,3504.70
30-May-25,3490.00
02-Jun-25,3450.00
03-Jun-25,3446.00
04-Jun-25,3389.00
